Quantity,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Customer Reference,Description,Notes
12,493-6185-1-ND,UCD1J101MNL1GS,Nichicon,"C101,C102",CAP ALUM 100UF 20% 63V SMD,SUB for JIERR RVT63V100M10X10. 63V min is load-bearing (51V LC inrush). 10.0mm dia x 10.5mm can.
20,311-3450-1-ND,CC1206KKX7R0BB225,YAGEO,"C103,C104",CAP CER 2.2UF 100V X7R 1206,Direct cross - same MPN as LCSC line.
50,311-1523-1-ND,CC0603KRX7R0BB104,YAGEO,"C105,C109,C111",CAP CER 0.1UF 100V X7R 0603,Direct cross.
10,311-3420-1-ND,CC0805KKX7R9BB225,YAGEO,C106,CAP CER 2.2UF 50V X7R 0805,Direct cross. 50V rating is load-bearing (DC-bias derating on LM5017 VCC).
50,311-1788-1-ND,CC0603KRX7R0BB103,YAGEO,"C107,C207,C208,C209,C210",CAP CER 10000PF 100V X7R 0603,Direct cross. C107 is the LM5017 bootstrap cap.
10,587-4319-1-ND,EMK316BB7226ML-T,Taiyo Yuden,C108,CAP CER 22UF 16V X7R 1206,SUB for TCC1206X7R226K160HT. 1.80mm max thickness - check z-clearance.
50,311-1746-1-ND,CC0603JRNPO0BN102,YAGEO,"C110,C211,C212",CAP CER 1000PF 100V C0G/NPO 0603,Direct cross. C0G required - C110 is the Type 3 ramp integrator.
50,311-1338-1-ND,CC0402KRX7R7BB104,YAGEO,C201,CAP CER 0.1UF 16V X7R 0402,Direct cross.
100,490-14454-1-ND,GRM033R71E103KE14D,Murata Electronics,C202,CAP CER 10000PF 25V X7R 0201,SUB for 0201B103K250NT. Same 25V rating. 0201 is mandatory - straddles a 0.4mm-pitch WCSP ball.
200,311-3644-1-ND,CC1206JKNPOCBN560,YAGEO,"C203,C205,C206,C301-C318",CAP CER 56PF 1KV C0G/NPO 1206,TANK CAP - DO NOT SUBSTITUTE DIELECTRIC OR VOLTAGE. C0G/NP0 at 1kV sets the resonant frequency. Qty covers 21 sites x 5 boards plus bench-trim reserve.
100,490-11628-1-ND,GRM31A5C3A270JW01D,Murata Electronics,"C204,C319-C323",CAP CER 27PF 1KV C0G/NP0 1206,TANK FINE-TRIM CAP - DO NOT SUBSTITUTE DIELECTRIC OR VOLTAGE. SUB for Yageo CC1206JKNPOCBN270 which is 0-stock/16wk at Digi-Key. Same 1kV C0G 1206.
10,311-1446-1-ND,CC0603KRX7R7BB105,YAGEO,C213,CAP CER 1UF 16V X7R 0603,Direct cross. LMG1020 local reservoir.
10,490-5986-1-ND,BLM21PG121SN1D,Murata Electronics,FB201,FERRITE BEAD 120 OHM 0805 1LN,Direct cross. Chosen for 30 mohm DCR - do not substitute a 600-ohm-class bead.
6,ED2609-ND,OSTTC022162,On Shore Technology Inc.,J101,TERM BLK 2P SIDE ENT 5.08MM PCB,SUB for KF128-5.08-2P-AA. 2-pos 5.08mm THT 15A/300V. 1.00mm round pins into the board's 1.60mm drills - loose but solderable.
12,343-CONSMA001-SMD-G-TCT-ND,CONSMA001-SMD-G-T,TE Connectivity Linx,"J201,J301",SMA Connector Receptacle Female Socket 50 Ohms Surface Mount Solder,Direct cross. SURFACE MOUNT confirmed on the Digi-Key page - do not accept a through-hole SMA.
10,535-ASPI-4030S-220M-TCT-ND,ASPI-4030S-220M-T,Abracon LLC,L101,FIXED IND 22UH 1A 225 MOHM SMD,SUB for Sunlord SWPA4030S220MT. Same 4.0x4.0x3.0mm 4030S form factor - true land-pattern drop-in. DCR 225 vs 292 mohm.
12,541-1003-1-ND,IHLP2525CZERR47M01,Vishay Dale,"L201,L202",FIXED IND 470NH 17.5A 4.2 MOHM,SUB for FXL0630-R47-M. TWO IN SERIES PER BOARD. SRF 75 MHz PUBLISHED (closes the board's open SRF risk). Isat 26A at -20%. 6.86x6.47mm vs 7.0x6.6mm.
12,917-1087-1-ND,EPC2019,EPC,"Q201,Q202",GaNFET N-Channel 200V 8.5A (Ta) Surface Mount Die,IN STOCK AT DIGI-KEY - this is what unblocks the build. Bare passivated die. 10 for 5 boards + 2 spares. NO SUBSTITUTE EXISTS.
10,YAG3110CT-ND,RC0402FR-0730K9L,YAGEO,R101,RES 30.9K OHM 1% 1/16W 0402,SUB for 0402WGF3092TCE. 1% is load-bearing - it sets the +5V rail against the LMG1020 4.75V minimum.
10,311-10.0KLRCT-ND,RC0402FR-0710KL,YAGEO,R102,RES 10K OHM 1% 1/16W 0402,SUB for 0402WGF1002TCE. 1% load-bearing (same divider).
25,P16060CT-ND,ERJ-P06F1003V,Panasonic,"R103,R104",RES SMD 100K OHM 1% 1/2W 0805,SUB for 0805W8F1003T5E. 0.5W chosen so working voltage is 223.6V - a 1/8W 0805 at 100k is limited to 111.8V by sqrt(P*R).
12,YAG3378CT-ND,RC2010FK-07100RL,YAGEO,"R201,R202",RES 100 OHM 1% 3/4W 2010,SUB for 201007F1000T4E. 750mW in 2010 held exactly - this is the 50-ohm input termination. Do not downsize.
25,2019-RK73H2ATTD4R70FCT-ND,RK73H2ATTD4R70F,KOA Speer Electronics Inc.,"R203,R204,R205,R206",RES 4.7 OHM 1% 1/4W 0805,Direct cross. 4R7 is settled by simulation - do not fit 6R8. All four legs must be one reel for gate symmetry.
7,296-41308-1-ND,LM5017MRX/NOPB,Texas Instruments,U101,Buck Switching Regulator IC Positive Adjustable 1.225V 1 Output 600mA 8-PowerSOIC,Direct cross. Genuine TI.
7,296-50208-1-ND,LMG1020YFFR,Texas Instruments,U201,IC GATE DRVR LOW-SIDE 6DSBGA,Direct cross - GENUINE TI part instead of LCSC's Tokmas-branded listing. Resolves the authenticity flag (OPEN-6).
